@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
26,2,17,12,51,35,DESERTOR
27,2,11,11,34,34,DESERTOR
36,1,5,5,16,16,DESERTOR
37,5,30,22,93,64,ACTIVO
23,5,44,28,138,86,DESERTOR
31,10,65,61,194,181,GRADUADO
32,10,25,16,67,40,GRADUADO
32,9,32,31,89,85,GRADUADO
30,8,75,40,228,122,ACTIVO
29,10,20,18,48,42,GRADUADO
31,1,6,5,17,13,DESERTOR
24,5,38,29,116,88,ACTIVO
28,5,7,5,21,15,ACTIVO
23,8,52,48,160,148,ACTIVO
22,1,12,4,39,13,DESERTOR
39,10,65,55,198,166,ACTIVO
23,2,16,12,52,38,ACTIVO
38,9,13,13,39,39,GRADUADO
29,1,5,1,16,3,DESERTOR
27,7,84,41,251,120,ACTIVO
28,2,4,1,12,2,DESERTOR
25,2,9,8,29,26,ACTIVO
25,1,6,3,19,9,DESERTOR
26,4,23,23,71,71,ACTIVO
30,9,39,37,121,113,ACTIVO
31,9,46,43,140,132,GRADUADO
39,9,59,56,177,168,GRADUADO
25,10,57,56,174,170,GRADUADO
25,10,57,56,174,170,GRADUADO
30,9,58,50,179,154,ACTIVO
25,3,16,13,51,41,DESERTOR
23,2,12,7,37,22,DESERTOR
33,7,24,18,68,50,DESERTOR
22,2,10,8,32,26,ACTIVO
42,3,16,14,49,43,DESERTOR
21,1,5,2,16,7,DESERTOR
24,6,25,25,77,77,ACTIVO
25,1,7,5,22,15,ACTIVO
32,5,17,14,53,43,ACTIVO
33,1,3,2,9,6,ACTIVO
19,1,5,5,16,16,DESERTOR
34,5,34,30,105,92,DESERTOR
32,2,10,10,30,30,DESERTOR
34,10,30,27,89,78,GRADUADO
40,10,53,46,159,136,GRADUADO
40,10,53,46,159,136,GRADUADO
26,3,19,13,61,41,ACTIVO
30,1,11,8,39,27,ACTIVO
33,3,10,6,28,18,DESERTOR
34,5,26,20,87,67,ACTIVO
19,2,9,9,31,31,ACTIVO
24,1,6,6,20,20,DESERTOR
36,1,6,3,18,9,DESERTOR
29,1,12,9,35,27,DESERTOR
10,9,49,47,135,128,GRADUADO
10,9,49,47,135,128,GRADUADO
27,3,21,16,66,50,DESERTOR
28,4,34,32,91,85,DESERTOR
32,5,54,19,157,52,DESERTOR
29,1,6,6,18,18,DESERTOR
24,1,10,6,34,20,ACTIVO
27,9,55,55,141,141,GRADUADO
27,9,75,52,197,133,GRADUADO
20,3,8,8,25,25,ACTIVO
28,3,7,6,24,21,DESERTOR
25,8,53,49,168,157,ACTIVO
34,9,66,55,178,147,GRADUADO
34,9,66,55,178,147,GRADUADO
33,4,2,2,8,8,DESERTOR
27,1,5,5,16,16,ACTIVO
28,9,64,64,166,166,GRADUADO
28,9,64,64,166,166,GRADUADO
28,1,6,6,18,18,DESERTOR
27,1,5,0,17,0,DESERTOR
31,5,38,19,123,63,ACTIVO
19,2,9,9,30,30,ACTIVO
21,3,14,13,47,43,ACTIVO
21,3,20,19,68,65,ACTIVO
29,2,13,11,36,31,DESERTOR
31,9,41,39,109,105,GRADUADO
24,4,35,25,117,85,ACTIVO
22,3,21,18,69,59,ACTIVO
16,4,7,6,18,15,DESERTOR
21,1,5,5,17,17,ACTIVO
24,1,6,5,20,17,DESERTOR
23,6,42,41,142,139,ACTIVO
19,3,20,20,64,64,ACTIVO
29,6,39,33,109,95,ACTIVO
25,8,55,55,158,158,GRADUADO
23,3,4,4,13,13,ACTIVO
27,5,24,19,78,62,DESERTOR
26,10,35,35,86,86,ACTIVO
32,10,36,34,36,34,GRADUADO
32,10,36,34,36,34,GRADUADO
19,3,17,17,57,57,ACTIVO
24,8,61,53,189,161,DESERTOR
34,9,34,33,95,92,GRADUADO
20,3,10,8,34,28,ACTIVO
22,4,27,27,88,88,ACTIVO
23,7,47,46,150,147,ACTIVO
22,3,13,12,44,40,ACTIVO
26,3,10,8,33,26,ACTIVO
24,8,47,47,154,154,GRADUADO
22,2,9,7,31,25,ACTIVO
22,3,16,16,54,54,ACTIVO
35,10,35,32,35,32,GRADUADO
23,3,26,20,87,68,ACTIVO
25,4,18,18,60,60,ACTIVO
25,6,82,37,257,117,ACTIVO
39,9,48,46,132,127,GRADUADO
33,10,1,1,1,1,GRADUADO
44,10,16,16,16,16,GRADUADO
21,1,5,1,17,3,DESERTOR
29,1,8,4,26,14,DESERTOR
27,4,23,16,67,51,DESERTOR
22,2,5,2,16,7,ACTIVO
34,2,16,8,45,22,DESERTOR
46,3,6,5,18,15,DESERTOR
39,10,27,27,27,27,GRADUADO
28,1,6,5,18,15,DESERTOR
26,1,5,2,17,7,DESERTOR
28,3,42,17,124,50,DESERTOR
24,2,11,7,36,23,ACTIVO
23,2,6,4,20,14,ACTIVO
28,4,66,18,200,53,DESERTOR
25,8,37,36,124,121,ACTIVO
25,2,21,12,60,34,ACTIVO
20,2,10,10,33,33,ACTIVO
28,9,56,55,145,142,GRADUADO
26,2,19,16,54,46,DESERTOR
28,1,5,0,17,0,ACTIVO
31,5,29,28,97,94,ACTIVO
27,7,48,47,156,153,DESERTOR
23,1,5,0,17,0,DESERTOR
21,5,35,34,117,114,ACTIVO
30,9,55,51,152,139,GRADUADO
30,9,55,51,152,139,GRADUADO
27,1,6,0,18,0,DESERTOR
35,2,11,11,33,33,GRADUADO
22,4,28,28,95,95,ACTIVO
28,1,10,9,34,30,ACTIVO
33,5,17,12,46,34,DESERTOR
26,8,48,48,154,154,GRADUADO
29,2,16,10,45,27,DESERTOR
32,10,21,17,51,42,ACTIVO
27,2,10,10,34,34,ACTIVO
29,3,26,16,88,54,ACTIVO
25,1,8,2,25,7,DESERTOR
22,6,43,40,143,133,ACTIVO
31,7,60,44,196,135,DESERTOR
26,6,45,35,150,118,ACTIVO
29,8,33,33,92,92,GRADUADO
27,8,59,57,159,154,GRADUADO
31,2,6,6,18,18,DESERTOR
40,4,23,14,63,38,DESERTOR
26,1,6,6,18,18,DESERTOR
27,4,22,22,74,74,ACTIVO
39,3,3,0,9,0,DESERTOR
31,2,13,9,38,25,DESERTOR
34,8,34,34,112,112,ACTIVO
20,3,21,20,69,66,ACTIVO
29,10,70,60,191,165,GRADUADO
20,1,8,4,26,14,ACTIVO
27,1,6,0,18,0,DESERTOR
37,10,34,30,34,30,GRADUADO
40,10,26,26,26,26,GRADUADO
12,6,33,28,91,79,DESERTOR
