@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
27,10,62,60,168,161,GRADUADO
23,6,40,39,116,112,ACTIVO
25,1,6,5,18,15,DESERTOR
32,3,13,10,37,28,DESERTOR
41,2,11,6,34,18,DESERTOR
32,6,3,2,3,2,DESERTOR
40,9,54,46,141,120,ACTIVO
23,2,22,13,59,34,DESERTOR
36,10,56,51,153,138,GRADUADO
36,10,56,51,153,138,GRADUADO
32,9,17,17,26,26,GRADUADO
26,4,42,29,116,78,ACTIVO
37,10,43,38,115,99,GRADUADO
32,10,51,39,58,40,GRADUADO
38,2,12,12,35,34,GRADUADO
38,2,12,12,35,34,GRADUADO
26,5,19,19,52,52,ACTIVO
37,2,17,11,46,28,DESERTOR
40,10,15,14,15,14,GRADUADO
45,3,17,13,45,33,ACTIVO
34,2,17,15,49,43,DESERTOR
59,2,13,13,28,28,ACTIVO
38,10,30,30,30,30,GRADUADO
34,10,48,48,130,130,GRADUADO
26,10,57,55,153,147,GRADUADO
21,2,6,6,17,17,ACTIVO
22,2,19,13,54,35,ACTIVO
42,10,35,33,88,84,GRADUADO
20,3,18,18,49,49,ACTIVO
26,3,18,16,50,44,DESERTOR
27,10,67,60,183,161,GRADUADO
27,10,67,60,183,161,GRADUADO
36,10,73,58,204,160,ACTIVO
19,1,5,5,15,15,ACTIVO
30,6,33,29,95,83,ACTIVO
36,10,70,40,193,106,GRADUADO
39,10,70,67,173,168,GRADUADO
33,6,12,5,33,13,DESERTOR
37,2,11,11,33,33,GRADUADO
27,4,27,23,79,66,DESERTOR
16,3,6,2,15,5,DESERTOR
22,5,38,31,111,87,ACTIVO
36,9,31,31,80,80,GRADUADO
27,9,54,49,146,128,GRADUADO
48,2,13,13,30,30,GRADUADO
25,1,6,4,17,12,DESERTOR
22,9,67,57,185,154,ACTIVO
19,1,11,9,31,25,ACTIVO
12,10,9,9,9,9,GRADUADO
42,9,63,60,170,161,GRADUADO
23,1,6,6,18,18,DESERTOR
36,9,32,32,86,85,GRADUADO
30,9,54,53,143,140,GRADUADO
36,1,6,0,17,0,DESERTOR
42,7,48,30,137,85,DESERTOR
36,3,17,17,49,49,DESERTOR
22,4,24,24,65,65,ACTIVO
54,4,25,23,71,64,ACTIVO
22,5,28,27,77,74,ACTIVO
28,2,9,9,23,23,ACTIVO
30,9,48,48,125,125,GRADUADO
35,2,11,8,32,24,DESERTOR
34,6,44,31,128,86,DESERTOR
39,2,1,1,2,2,GRADUADO
58,6,18,16,39,35,DESERTOR
12,10,30,29,30,29,GRADUADO
30,8,56,46,152,124,ACTIVO
24,4,41,21,117,62,DESERTOR
40,8,62,51,175,139,ACTIVO
24,8,61,49,172,135,ACTIVO
31,6,37,34,108,98,ACTIVO
53,6,16,14,46,41,ACTIVO
32,10,43,43,112,112,ACTIVO
25,1,10,6,28,17,ACTIVO
27,7,52,37,157,112,ACTIVO
57,2,12,12,34,33,GRADUADO
28,10,51,46,132,118,GRADUADO
19,3,18,18,49,49,ACTIVO
23,2,4,3,12,9,ACTIVO
28,10,55,55,146,146,GRADUADO
36,7,40,30,109,81,DESERTOR
36,10,23,23,23,23,GRADUADO
36,2,9,9,25,25,GRADUADO
32,7,6,4,6,4,DESERTOR
23,3,27,19,74,50,ACTIVO
20,1,5,5,15,15,ACTIVO
29,10,74,51,202,135,GRADUADO
29,10,74,51,202,135,GRADUADO
20,2,18,17,50,47,ACTIVO
23,7,41,40,118,114,ACTIVO
20,3,18,18,49,49,ACTIVO
29,9,34,33,34,33,GRADUADO
29,4,33,18,91,48,DESERTOR
29,3,23,13,77,36,DESERTOR
34,10,54,54,143,143,GRADUADO
21,5,24,23,64,61,ACTIVO
32,10,66,33,163,84,GRADUADO
34,1,6,5,18,14,DESERTOR
29,9,76,74,216,208,GRADUADO
28,2,11,11,33,33,DESERTOR
28,1,5,0,14,0,DESERTOR
46,10,18,18,18,18,GRADUADO
31,10,57,49,147,126,GRADUADO
31,10,57,49,147,126,GRADUADO
42,10,26,25,26,25,GRADUADO
51,10,35,33,35,33,GRADUADO
44,4,6,5,16,13,DESERTOR
47,3,7,7,7,7,GRADUADO
42,10,41,40,106,105,GRADUADO
29,6,45,32,124,90,ACTIVO
27,2,9,9,25,25,DESERTOR
29,3,6,6,15,15,DESERTOR
21,6,45,38,130,107,ACTIVO
26,8,56,56,150,150,ACTIVO
33,10,30,27,30,27,GRADUADO
28,5,40,29,123,89,ACTIVO
23,5,34,30,96,85,ACTIVO
24,2,12,5,33,12,DESERTOR
37,2,15,7,47,23,DESERTOR
26,10,55,55,144,144,GRADUADO
26,10,55,55,144,144,GRADUADO
25,2,10,8,28,22,ACTIVO
39,10,38,33,38,33,GRADUADO
27,10,60,60,157,157,GRADUADO
27,10,60,60,157,157,GRADUADO
19,1,6,0,17,0,DESERTOR
23,3,18,18,49,49,ACTIVO
35,1,6,6,14,14,GRADUADO
27,10,47,47,123,123,GRADUADO
21,1,6,2,17,5,DESERTOR
26,10,54,54,143,143,GRADUADO
26,10,54,54,143,143,GRADUADO
38,2,11,11,28,26,GRADUADO
31,10,58,38,151,98,GRADUADO
29,10,72,60,197,161,GRADUADO
33,10,60,60,161,161,ACTIVO
29,9,77,71,202,183,GRADUADO
29,9,77,71,202,183,GRADUADO
25,1,11,8,31,23,ACTIVO
25,1,4,0,12,0,ACTIVO
19,1,5,5,13,13,ACTIVO
22,2,6,6,16,16,DESERTOR
24,9,58,53,163,148,ACTIVO
39,10,34,34,92,92,GRADUADO
27,10,74,71,194,185,GRADUADO
27,10,74,71,194,185,GRADUADO
31,9,40,36,109,96,GRADUADO
26,2,11,9,33,26,DESERTOR
27,2,12,6,36,18,DESERTOR
25,9,71,58,196,157,GRADUADO
25,1,5,5,15,15,ACTIVO
24,6,65,30,187,83,ACTIVO
39,3,8,7,22,19,DESERTOR
31,1,4,3,12,8,DESERTOR
26,10,61,60,164,161,GRADUADO
29,10,49,46,133,124,GRADUADO
29,10,49,46,133,124,GRADUADO
40,1,6,6,17,17,GRADUADO
25,2,11,8,30,21,DESERTOR
28,2,12,8,36,25,DESERTOR
34,10,60,60,161,161,GRADUADO
24,1,9,0,26,0,DESERTOR
30,9,81,54,223,145,ACTIVO
23,10,61,60,162,161,GRADUADO
31,10,36,36,96,96,ACTIVO
29,9,58,43,156,116,GRADUADO
16,10,51,51,138,138,GRADUADO
28,9,61,60,164,161,GRADUADO
34,9,61,54,162,143,ACTIVO
36,10,28,28,79,79,GRADUADO
25,3,24,17,69,48,DESERTOR
26,10,68,60,182,161,GRADUADO
24,2,6,1,17,3,DESERTOR
37,7,25,20,52,42,ACTIVO
32,1,9,4,28,12,DESERTOR
26,10,66,58,180,157,GRADUADO
40,10,36,29,70,57,GRADUADO
40,4,8,1,23,3,DESERTOR
25,5,36,27,100,72,ACTIVO
52,10,12,11,12,11,GRADUADO
41,10,57,46,147,119,GRADUADO
36,1,6,5,18,15,DESERTOR
21,5,25,25,67,67,ACTIVO
28,9,66,50,177,131,GRADUADO
22,2,17,15,48,41,ACTIVO
23,4,26,25,71,68,ACTIVO
28,10,87,71,248,199,ACTIVO
28,10,87,71,248,199,ACTIVO
23,2,6,5,16,14,ACTIVO
31,8,53,31,150,86,ACTIVO
31,10,65,49,181,133,GRADUADO
22,5,45,29,123,80,ACTIVO
33,9,50,48,129,125,GRADUADO
46,3,18,18,18,18,GRADUADO
23,2,11,11,31,31,ACTIVO
25,10,69,60,187,161,GRADUADO
42,10,22,22,22,22,GRADUADO
42,10,22,22,22,22,GRADUADO
37,10,36,30,36,30,GRADUADO
20,2,11,11,31,31,ACTIVO
23,9,63,60,168,161,ACTIVO
21,3,10,9,28,25,ACTIVO
23,1,5,0,14,0,DESERTOR
21,1,10,8,29,23,ACTIVO
22,2,6,3,16,9,ACTIVO
23,9,64,58,173,155,ACTIVO
21,3,18,18,49,49,ACTIVO
20,5,32,30,87,83,ACTIVO
18,1,5,5,15,15,ACTIVO
25,1,6,3,18,8,DESERTOR
23,1,9,3,26,8,DESERTOR
29,10,51,46,140,125,GRADUADO
20,10,42,35,93,77,ACTIVO
21,2,15,9,47,26,ACTIVO
18,1,11,10,31,28,ACTIVO
25,10,66,60,179,161,GRADUADO
30,1,6,2,18,5,DESERTOR
21,7,43,40,123,115,ACTIVO
34,4,34,10,97,31,DESERTOR
25,2,15,7,44,18,DESERTOR
33,1,3,0,10,0,DESERTOR
26,2,6,0,18,0,DESERTOR
23,1,5,2,15,5,ACTIVO
29,10,57,43,159,121,GRADUADO
29,9,69,54,194,149,GRADUADO
28,10,50,44,130,114,GRADUADO
22,3,16,14,42,36,ACTIVO
36,5,26,25,75,72,ACTIVO
25,6,43,33,119,91,ACTIVO
25,9,56,55,152,148,ACTIVO
30,1,12,0,36,0,DESERTOR
24,4,25,25,68,68,ACTIVO
30,10,38,36,102,95,GRADUADO
23,3,25,22,68,59,ACTIVO
28,9,50,48,129,125,GRADUADO
21,4,22,21,58,55,ACTIVO
42,10,40,35,41,35,GRADUADO
23,8,48,46,139,132,ACTIVO
20,1,6,5,17,14,DESERTOR
21,5,37,32,105,90,ACTIVO
23,6,36,36,101,101,ACTIVO
23,10,61,60,164,161,ACTIVO
28,10,58,52,154,137,ACTIVO
23,4,31,25,85,68,ACTIVO
28,10,67,60,182,161,GRADUADO
23,5,21,21,56,56,ACTIVO
12,9,12,12,12,12,DESERTOR
27,3,24,23,65,62,ACTIVO
29,10,36,33,94,91,GRADUADO
29,2,6,3,17,8,DESERTOR
32,10,50,40,132,104,GRADUADO
27,2,27,9,76,25,DESERTOR
23,6,48,37,138,103,ACTIVO
29,1,8,1,20,1,DESERTOR
28,1,7,2,21,6,DESERTOR
34,10,42,40,55,53,GRADUADO
34,10,42,40,55,53,GRADUADO
29,10,65,55,176,147,GRADUADO
30,2,6,0,17,0,DESERTOR
36,2,25,25,42,42,GRADUADO
35,4,18,9,45,23,DESERTOR
22,5,30,30,83,83,ACTIVO
22,1,6,0,17,0,DESERTOR
22,3,22,16,61,44,ACTIVO
37,3,12,11,34,32,DESERTOR
26,1,3,0,9,0,ACTIVO
29,10,47,47,122,122,GRADUADO
29,10,47,47,122,122,GRADUADO
28,10,43,42,115,112,GRADUADO
29,3,23,12,64,33,DESERTOR
30,10,37,33,104,92,GRADUADO
25,10,64,55,173,147,GRADUADO
27,8,44,42,117,111,ACTIVO
29,10,51,50,130,127,GRADUADO
29,2,3,2,10,7,DESERTOR
31,10,71,58,197,158,ACTIVO
30,3,23,20,67,58,DESERTOR
32,1,12,6,36,18,DESERTOR
26,10,66,65,168,165,GRADUADO
26,10,66,65,168,165,GRADUADO
29,3,9,5,26,14,DESERTOR
57,1,5,5,13,13,ACTIVO
44,3,12,11,34,31,DESERTOR
34,9,40,39,107,104,GRADUADO
30,10,53,46,148,125,GRADUADO
25,2,28,6,86,18,DESERTOR
29,6,41,31,118,88,DESERTOR
23,5,28,24,77,65,ACTIVO
23,4,20,20,52,52,ACTIVO
26,1,6,4,18,13,DESERTOR
12,5,5,4,14,11,DESERTOR
29,1,12,11,36,33,DESERTOR
29,2,12,12,36,36,DESERTOR
28,10,69,62,177,157,GRADUADO
28,10,69,62,177,157,GRADUADO
30,10,53,48,141,125,GRADUADO
41,10,14,14,14,14,GRADUADO
33,1,6,6,18,18,DESERTOR
23,4,21,17,55,43,ACTIVO
28,10,41,41,114,114,GRADUADO
35,1,6,4,18,13,DESERTOR
24,1,5,2,15,6,DESERTOR
25,3,22,21,61,58,ACTIVO
34,2,5,4,14,12,DESERTOR
33,4,34,26,96,70,ACTIVO
25,9,68,60,186,161,GRADUADO
28,10,60,55,165,146,GRADUADO
34,3,19,15,57,44,DESERTOR
26,1,9,5,25,14,DESERTOR
22,9,62,60,167,161,GRADUADO
22,9,62,60,167,161,GRADUADO
29,9,35,35,90,90,GRADUADO
37,9,6,6,6,6,GRADUADO
24,1,12,10,38,30,DESERTOR
20,2,11,11,31,31,ACTIVO
25,1,6,6,17,17,ACTIVO
23,3,19,16,51,42,ACTIVO
28,1,6,4,18,12,DESERTOR
23,5,26,21,71,58,ACTIVO
22,1,7,2,22,6,DESERTOR
27,4,35,20,99,55,DESERTOR
33,5,30,30,85,85,DESERTOR
30,10,57,40,152,102,GRADUADO
26,4,54,16,152,39,ACTIVO
21,4,24,20,66,54,ACTIVO
23,5,43,32,124,91,ACTIVO
23,6,63,35,173,97,ACTIVO
22,2,12,9,31,23,ACTIVO
25,10,84,74,216,194,GRADUADO
25,8,57,54,155,145,ACTIVO
23,6,36,28,98,73,ACTIVO
19,2,5,5,15,15,ACTIVO
27,10,81,72,211,189,GRADUADO
24,1,4,0,13,0,DESERTOR
26,8,7,7,20,20,ACTIVO
26,6,45,40,120,105,ACTIVO
24,3,19,17,52,46,DESERTOR
21,4,26,21,69,56,ACTIVO
23,7,62,45,170,120,ACTIVO
23,1,6,0,18,0,DESERTOR
25,3,15,11,38,29,ACTIVO
27,3,21,19,62,55,ACTIVO
26,8,79,46,219,124,DESERTOR
23,2,4,3,11,8,ACTIVO
26,1,6,0,17,0,DESERTOR
22,3,22,19,59,50,ACTIVO
26,1,6,5,18,15,DESERTOR
28,3,18,18,49,49,ACTIVO
21,9,60,60,161,161,ACTIVO
25,1,6,0,17,0,DESERTOR
24,1,5,0,16,0,DESERTOR
21,3,11,10,30,27,ACTIVO
19,3,24,20,67,54,ACTIVO
23,10,67,60,184,161,GRADUADO
23,10,67,60,184,161,GRADUADO
35,2,15,10,40,27,DESERTOR
24,2,15,7,45,19,DESERTOR
20,5,36,35,103,99,ACTIVO
29,7,51,41,143,114,ACTIVO
27,10,64,56,175,151,GRADUADO
23,2,11,11,31,31,ACTIVO
21,3,16,14,41,35,ACTIVO
24,4,35,24,93,63,ACTIVO
28,10,42,41,111,109,GRADUADO
28,9,38,36,108,102,GRADUADO
22,7,62,40,174,110,ACTIVO
24,3,35,17,95,46,ACTIVO
20,5,35,34,101,97,ACTIVO
27,10,69,55,188,146,GRADUADO
24,2,16,11,49,33,DESERTOR
28,1,10,4,31,12,DESERTOR
23,2,15,7,43,18,DESERTOR
20,3,18,16,49,44,ACTIVO
23,4,20,14,56,39,ACTIVO
25,10,61,60,165,162,GRADUADO
25,10,61,60,165,162,GRADUADO
22,5,34,29,97,79,DESERTOR
21,5,28,27,78,74,ACTIVO
25,9,56,55,150,147,GRADUADO
25,9,56,55,150,147,GRADUADO
21,7,46,43,134,124,ACTIVO
20,2,11,10,30,27,ACTIVO
26,10,63,60,170,161,GRADUADO
26,10,63,60,170,161,GRADUADO
26,10,77,56,204,151,ACTIVO
30,2,17,14,50,41,DESERTOR
21,1,12,4,33,12,DESERTOR
27,9,60,57,163,154,ACTIVO
23,7,45,39,120,104,ACTIVO
20,1,5,5,15,15,ACTIVO
22,10,65,60,177,161,ACTIVO
27,10,72,54,199,146,GRADUADO
27,10,72,54,199,146,GRADUADO
22,5,26,24,71,63,ACTIVO
25,8,49,45,140,127,ACTIVO
32,9,32,32,32,32,GRADUADO
27,2,16,9,49,26,DESERTOR
25,2,6,5,15,12,ACTIVO
23,7,32,32,93,93,ACTIVO
20,4,33,23,89,62,ACTIVO
22,2,23,14,63,37,ACTIVO
21,2,10,10,29,29,ACTIVO
24,3,27,14,75,40,ACTIVO
25,10,71,60,193,161,GRADUADO
22,10,64,59,177,159,GRADUADO
11,9,36,30,105,85,GRADUADO
28,10,72,60,196,161,GRADUADO
28,10,72,60,196,161,GRADUADO
32,10,27,27,27,27,GRADUADO
25,9,76,60,209,161,GRADUADO
29,2,7,6,18,17,DESERTOR
41,10,33,32,94,90,GRADUADO
31,7,47,41,136,116,ACTIVO
31,9,28,27,28,27,GRADUADO
30,8,44,38,116,103,DESERTOR
28,9,49,49,128,128,GRADUADO
28,9,49,49,128,128,GRADUADO
27,1,5,5,17,17,ACTIVO
43,10,39,25,39,25,GRADUADO
29,10,55,49,152,133,GRADUADO
34,10,37,31,37,31,GRADUADO
41,1,12,0,34,0,DESERTOR
27,2,9,2,27,7,DESERTOR
37,1,10,9,30,26,DESERTOR
24,10,60,60,161,161,GRADUADO
39,5,5,1,12,3,ACTIVO
20,1,5,5,15,15,ACTIVO
20,2,11,11,31,31,ACTIVO
32,10,56,52,150,138,ACTIVO
42,10,2,2,2,2,GRADUADO
30,1,6,6,18,18,DESERTOR
29,9,35,35,102,102,GRADUADO
21,2,11,10,29,26,ACTIVO
22,4,29,28,78,75,ACTIVO
23,3,20,18,55,49,ACTIVO
32,2,10,10,28,28,ACTIVO
24,5,34,31,93,85,ACTIVO
32,9,59,56,161,150,ACTIVO
29,6,29,25,82,70,ACTIVO
35,10,46,44,127,120,GRADUADO
35,10,46,44,127,120,GRADUADO
29,9,36,36,102,102,GRADUADO
29,10,80,60,217,161,ACTIVO
32,3,12,12,31,31,ACTIVO
34,10,24,24,24,24,GRADUADO
22,6,33,33,92,92,ACTIVO
27,10,55,55,148,148,GRADUADO
27,10,55,55,148,148,GRADUADO
24,5,51,31,147,89,DESERTOR
42,10,20,19,20,19,GRADUADO
22,2,5,5,15,15,ACTIVO
31,10,33,33,90,90,GRADUADO
27,1,13,1,40,3,DESERTOR
32,9,53,48,140,125,GRADUADO
25,2,14,10,39,27,DESERTOR
57,2,12,12,36,33,GRADUADO
37,2,12,10,35,30,DESERTOR
18,2,11,10,31,28,ACTIVO
29,10,35,34,101,98,GRADUADO
24,1,5,0,15,0,ACTIVO
32,10,40,34,40,34,GRADUADO
37,10,42,40,112,107,GRADUADO
35,10,10,9,9,9,GRADUADO
39,10,21,20,45,42,GRADUADO
39,10,21,20,45,42,GRADUADO
34,2,11,11,31,31,ACTIVO
24,7,42,39,120,111,ACTIVO
32,9,56,54,150,143,GRADUADO
32,9,56,54,150,143,GRADUADO
32,10,37,34,99,90,GRADUADO
62,10,25,19,31,23,GRADUADO
47,2,12,12,33,33,GRADUADO
30,10,37,34,102,93,GRADUADO
31,10,64,63,172,168,GRADUADO
31,10,64,63,172,168,GRADUADO
28,10,62,60,168,162,GRADUADO
17,1,1,1,2,2,GRADUADO
24,9,56,55,149,144,GRADUADO
26,10,61,59,165,159,ACTIVO
21,4,24,20,63,53,ACTIVO
19,2,6,6,16,16,ACTIVO
19,1,5,5,15,15,ACTIVO
19,1,5,5,15,15,ACTIVO
22,1,6,0,17,0,DESERTOR
23,2,11,7,29,19,ACTIVO
20,4,17,17,45,45,ACTIVO
24,10,63,58,171,157,ACTIVO
22,1,6,0,18,0,DESERTOR
27,2,36,11,107,28,DESERTOR
19,2,6,6,16,16,ACTIVO
19,1,5,5,15,15,ACTIVO
21,1,5,4,15,12,ACTIVO
18,1,10,6,28,16,ACTIVO
32,10,21,21,42,42,GRADUADO
32,10,21,21,42,42,GRADUADO
25,1,5,4,15,12,DESERTOR
12,6,11,6,21,16,DESERTOR
21,3,10,9,26,23,ACTIVO
23,7,61,47,172,125,ACTIVO
31,10,77,57,205,153,ACTIVO
27,2,9,7,23,18,DESERTOR
31,9,46,38,122,99,GRADUADO
21,6,35,35,100,100,ACTIVO
33,9,36,35,102,99,GRADUADO
25,8,68,48,186,134,ACTIVO
20,1,5,5,15,15,ACTIVO
19,2,16,13,44,36,ACTIVO
24,6,40,33,121,101,ACTIVO
20,5,30,29,83,81,ACTIVO
21,4,29,24,78,63,ACTIVO
21,1,5,4,15,11,ACTIVO
18,2,11,11,31,31,ACTIVO
23,9,78,60,214,161,GRADUADO
23,5,35,31,100,86,ACTIVO
18,2,11,11,31,31,ACTIVO
33,9,25,16,30,21,GRADUADO
20,1,5,0,15,0,ACTIVO
28,7,45,45,129,129,ACTIVO
28,10,68,67,174,171,GRADUADO
28,10,68,67,174,171,GRADUADO
23,1,5,0,16,0,DESERTOR
29,3,6,3,17,8,DESERTOR
27,3,29,15,77,42,DESERTOR
20,5,5,2,16,7,ACTIVO
27,9,59,55,160,147,GRADUADO
18,1,5,5,15,15,ACTIVO
22,1,8,6,24,17,ACTIVO
19,1,5,0,15,0,ACTIVO
22,4,21,20,56,54,ACTIVO
32,10,66,60,178,161,GRADUADO
26,1,6,1,17,3,DESERTOR
25,2,2,0,5,0,ACTIVO
21,5,32,26,88,70,ACTIVO
30,4,28,18,77,48,ACTIVO
32,4,18,2,38,6,DESERTOR
22,6,40,37,116,105,ACTIVO
44,3,7,7,7,7,ACTIVO
24,6,47,34,130,95,DESERTOR
29,1,6,0,18,0,DESERTOR
36,6,12,5,12,5,DESERTOR
33,5,18,10,45,23,DESERTOR
36,9,48,48,125,125,GRADUADO
43,7,44,44,128,128,ACTIVO
35,9,34,30,34,30,GRADUADO
25,3,32,23,92,63,ACTIVO
22,3,15,11,41,31,ACTIVO
30,3,11,5,31,13,DESERTOR
45,2,12,12,33,33,GRADUADO
29,10,76,45,200,116,ACTIVO
28,10,52,51,142,139,GRADUADO
27,10,55,55,146,146,GRADUADO
27,10,55,55,146,146,GRADUADO
36,3,8,8,8,8,GRADUADO
24,3,21,14,57,40,ACTIVO
21,4,29,24,79,65,ACTIVO
21,5,31,30,84,82,ACTIVO
26,1,6,6,18,18,DESERTOR
36,7,6,0,6,0,DESERTOR
26,1,6,0,18,0,DESERTOR
21,1,12,4,34,11,DESERTOR
30,2,17,8,52,23,DESERTOR
32,5,40,21,111,58,DESERTOR
39,2,6,6,21,21,DESERTOR
29,9,68,42,181,107,GRADUADO
32,10,67,54,181,143,GRADUADO
29,4,17,13,47,35,ACTIVO
21,3,10,8,27,21,ACTIVO
38,8,3,0,3,0,DESERTOR
34,2,1,1,2,2,GRADUADO
31,10,71,47,196,127,GRADUADO
30,1,5,4,15,12,DESERTOR
59,2,12,12,33,33,GRADUADO
33,10,61,54,162,143,GRADUADO
19,5,33,30,92,84,ACTIVO
31,1,11,9,34,26,DESERTOR
29,2,8,4,22,11,ACTIVO
36,8,44,43,133,128,ACTIVO
27,10,61,60,164,161,GRADUADO
34,2,13,9,36,25,ACTIVO
23,5,38,28,104,76,ACTIVO
34,7,45,38,131,108,ACTIVO
35,10,37,30,37,30,GRADUADO
35,10,37,30,37,30,GRADUADO
48,1,8,8,16,16,GRADUADO
30,9,56,54,149,143,GRADUADO
36,1,12,9,36,26,DESERTOR
38,10,48,37,107,85,GRADUADO
34,3,18,18,53,53,DESERTOR
29,4,11,11,31,31,DESERTOR
48,3,20,17,55,47,ACTIVO
41,9,19,16,19,16,GRADUADO
34,1,9,5,28,15,DESERTOR
44,2,11,11,33,33,GRADUADO
37,3,11,8,33,24,DESERTOR
32,10,22,22,22,22,GRADUADO
37,2,12,12,33,33,GRADUADO
29,9,34,33,91,88,GRADUADO
26,10,72,71,186,183,GRADUADO
26,10,72,71,186,183,GRADUADO
38,10,42,38,115,101,GRADUADO
25,10,65,61,174,162,GRADUADO
22,7,41,38,120,111,ACTIVO
27,1,10,8,27,21,DESERTOR
35,7,27,13,74,37,ACTIVO
26,1,6,6,18,18,DESERTOR
34,3,25,18,66,47,DESERTOR
34,1,6,6,18,18,DESERTOR
47,10,20,20,20,20,GRADUADO
24,4,37,20,101,52,ACTIVO
25,3,24,21,65,57,ACTIVO
30,3,12,4,33,11,DESERTOR
24,9,56,56,155,155,ACTIVO
32,10,41,34,76,70,GRADUADO
32,10,41,34,76,70,GRADUADO
32,10,32,31,84,82,GRADUADO
26,1,5,3,15,9,ACTIVO
34,10,58,47,149,121,GRADUADO
26,2,17,9,54,28,DESERTOR
28,9,64,59,175,159,GRADUADO
34,7,45,41,127,114,ACTIVO
31,5,27,25,79,73,ACTIVO
23,4,13,13,33,33,ACTIVO
28,9,56,51,155,140,ACTIVO
26,10,67,66,171,168,GRADUADO
43,4,25,22,66,57,ACTIVO
45,2,12,12,33,33,GRADUADO
18,2,10,10,29,29,ACTIVO
31,8,65,44,179,119,DESERTOR
27,1,12,7,36,20,DESERTOR
27,10,61,60,164,161,GRADUADO
18,1,5,0,15,0,ACTIVO
35,10,68,68,193,191,GRADUADO
34,10,77,59,190,146,GRADUADO
42,4,33,28,89,76,DESERTOR
27,3,8,7,21,18,ACTIVO
33,9,71,53,189,135,GRADUADO
33,9,71,53,189,135,GRADUADO
25,10,63,60,171,161,GRADUADO
35,9,31,19,31,19,DESERTOR
42,2,12,10,35,29,DESERTOR
25,7,39,29,109,81,ACTIVO
30,1,5,0,16,0,DESERTOR
21,3,25,21,68,58,ACTIVO
29,10,47,45,122,117,GRADUADO
28,1,13,2,39,5,DESERTOR
17,2,11,11,33,33,GRADUADO
27,1,11,1,30,4,DESERTOR
23,9,54,54,145,145,ACTIVO
28,10,55,51,150,138,GRADUADO
28,10,55,51,150,138,GRADUADO
19,1,5,4,15,11,ACTIVO
20,2,6,6,17,17,ACTIVO
28,1,9,4,28,14,DESERTOR
29,5,39,23,102,63,DESERTOR
23,2,6,6,17,17,ACTIVO
25,1,13,6,37,16,ACTIVO
22,2,20,8,56,23,DESERTOR
22,6,50,33,147,92,ACTIVO
24,1,5,4,13,10,ACTIVO
23,8,47,44,139,128,ACTIVO
26,2,14,7,36,20,ACTIVO
29,9,61,52,156,134,GRADUADO
32,10,25,25,47,47,GRADUADO
32,10,25,25,47,47,GRADUADO
32,10,24,24,24,24,GRADUADO
35,5,33,13,86,34,DESERTOR
30,10,39,32,39,32,GRADUADO
29,7,45,38,129,107,ACTIVO
30,1,5,3,15,8,DESERTOR
30,1,6,5,18,15,DESERTOR
27,10,66,60,178,161,GRADUADO
27,10,66,60,178,161,GRADUADO
27,3,51,16,140,45,DESERTOR
25,9,70,60,190,161,GRADUADO
25,8,45,43,128,121,ACTIVO
27,9,57,55,154,148,GRADUADO
27,1,5,5,14,14,DESERTOR
29,4,11,7,35,23,DESERTOR
10,3,21,2,59,4,DESERTOR
26,9,57,57,150,150,GRADUADO
22,1,5,4,15,11,ACTIVO
25,4,31,23,87,65,DESERTOR
1,10,65,60,177,161,GRADUADO
28,9,60,60,161,161,GRADUADO
20,1,5,4,15,12,ACTIVO
30,10,34,34,34,34,GRADUADO
30,10,34,34,34,34,GRADUADO
29,1,6,3,18,8,DESERTOR
25,5,40,31,114,85,DESERTOR
25,3,31,17,95,49,DESERTOR
29,10,33,33,91,91,GRADUADO
27,2,13,3,35,9,DESERTOR
27,9,58,55,157,146,GRADUADO
21,7,52,44,152,128,ACTIVO
25,9,64,55,172,147,GRADUADO
26,9,35,34,93,90,ACTIVO
28,10,33,32,91,88,GRADUADO
30,3,18,9,54,29,DESERTOR
38,2,13,12,38,34,GRADUADO
43,9,46,42,116,104,GRADUADO
28,10,68,60,186,161,GRADUADO
30,10,48,48,125,125,GRADUADO
41,10,34,33,93,90,GRADUADO
25,2,12,12,34,34,ACTIVO
26,2,16,8,47,21,DESERTOR
19,4,23,20,63,55,ACTIVO
45,1,6,5,16,15,ACTIVO
21,1,6,4,16,11,DESERTOR
23,3,23,21,62,57,ACTIVO
20,5,30,30,83,83,ACTIVO
44,8,24,23,57,55,ACTIVO
25,7,50,34,139,95,ACTIVO
42,9,31,31,31,31,GRADUADO
35,2,12,12,33,33,GRADUADO
26,7,41,32,109,84,ACTIVO
29,10,49,48,128,125,GRADUADO
22,2,3,2,8,5,ACTIVO
32,1,5,5,15,15,ACTIVO
26,1,5,5,15,15,ACTIVO
25,10,62,59,170,159,ACTIVO
21,6,42,39,123,112,ACTIVO
26,6,43,37,126,107,ACTIVO
27,5,42,28,119,79,ACTIVO
32,10,6,6,6,6,GRADUADO
22,3,13,13,33,33,ACTIVO
41,10,32,30,32,30,GRADUADO
33,10,51,46,140,123,GRADUADO
